company_name,sector,funding,funding_citation,ai_enabled
new england institute for neurology &,Others,Not Found,Not Found,No
new gen pharm inc,Pharmaceuticals,Not Found,Not Found,Yes
new giza university,Others,Not Found,Not Found,Yes
new india bio pharma pvt ltd,Pharmaceuticals,Not Found,Not Found,No
new max industrial ltda,Others,Not Found,Not Found,No
new medical enzymes ag (inactive),Biotechnology,Not Found,Not Found,No
new mexico cancer care alliance,Others,Not Found,Not Found,No
new river pharmaceuticals inc,Pharmaceuticals,"$2.6B, Acquired",https://sec.boardroomalpha.com/2007/QTR1/0000950103-07-000431/dp04772_sctoc.htm,No
new valley university,Others,Not Found,Not Found,No
new york center for travel and tropical medicine,Others,Not Found,Not Found,No
new york city health and hospitals corp,Others,Not Found,Not Found,No
new york college of podiatric medicine,Others,Not Found,Not Found,No
new york eye specialists,Error,Error,Error,Error
new york eye surgery center,Others,Not Found,Not Found,No
new york eye and ear infirmary of mount sinai,Others,Not Found,Not Found,Yes
new york institute of technology,Others,Not Found,Not Found,Yes
new york state psychiatric institute,Others,Not Found,Not Found,No
new york university,Others,Not Found,Not Found,Yes
new york university college of dentistry,Others,Not Found,Not Found,No
new york university school of medicine,Others,Not Found,Not Found,No
newamsterdam pharma bv,Biotechnology,Not Found,Not Found,No
newbay medical technology co ltd,Biotechnology,Not Found,Not Found,No
newg lab pharma co ltd,Pharmaceuticals,Not Found,Not Found,No
newg lab pharma inc,Pharmaceuticals,Not Found,Not Found,Yes
newgen pharm inc,Pharmaceuticals,Not Found,Not Found,Yes
newgen pharmaceuticals llc,Pharmaceuticals,Not Found,Not Found,No
newgen therapeutics inc,Biotechnology,Not Found,Not Found,No
newvac,Others,Not Found,Not Found,No
newyork-presbyterian brooklyn methodist hospital,Others,Not Found,Not Found,Yes
newave pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
newave pharmaceutical inc,Pharmaceuticals,Not Found,Not Found,Yes
newcastle university,Others,Not Found,Not Found,No
newgen pharm co ltd,Pharmaceuticals,Not Found,Not Found,No
newleos therapeutics inc,Biotechnology,"$93.5M, Series A",https://www.businesswire.com/news/home/20250213253174/en/Newleos-Therapeutics-Debuts-with-%2493.5-Million-Oversubscribed-Series-A-Financing-to-Transform-the-Treatment-of-Neuropsychiatric-Disorders-through-the-Advancement-of-Novel-Medicines,No
newron pharmaceuticals spa,Biotechnology,Not Found,Not Found,No
newsoara biopharma co ltd,Biotechnology,Not Found,Not Found,No
nexgen dermatologics inc,Biotechnology,Not Found,Not Found,Yes
nexpharm korea co ltd,Pharmaceuticals,Not Found,Not Found,Yes
next generation regenerative medicine llc,Biotechnology,Not Found,Not Found,No
next science ltd,Biotechnology,Not Found,Not Found,No
next wave india,Others,Not Found,Not Found,Yes
nextevo inc,Others,"$300K, Seed",https://www.linkedin.com/company/nextevo-naturals,No
nextclinics spain slu,Others,Not Found,Not Found,No
nextgen bioscience,Biotechnology,Not Found,Not Found,No
nhat nhat pharmaceutical company,Pharmaceuticals,Not Found,Not Found,No
"niagen bioscience, inc.",Biotechnology,"$48M, Series C",https://en.wikipedia.org/wiki/Niagen_Bioscience,No
nicox research institute srl,Pharmaceuticals,"$3.2M, Post IPO equity",https://www.linkedin.com/company/nicox,No
nicox sa,Pharmaceuticals,"$3.2M, Post IPO Equity",https://www.linkedin.com/company/nicox,No
nichi-in biosciences pvt ltd,Biotechnology,Not Found,Not Found,Yes
nido biosciences inc,Biotechnology,"$109M, Series B",https://www.fiercebiotech.com/biotech/new-neurological-disease-biotech-nido-unveils-109m-backing-eli-lilly,No
nierenzentrum heidelberg ev,Others,Not Found,Not Found,No
nigde omer halisdemir university,Others,Not Found,Not Found,No
nigerian institute of medical research,Biotechnology,Not Found,Not Found,No
nihon university,Others,Not Found,Not Found,No
nihon university itabashi hospital,Others,Not Found,Not Found,No
nihon university school of medicine,Others,Not Found,Not Found,No
niigata cancer center hospital,Others,Not Found,Not Found,No
niigata city general hospital,Others,Not Found,Not Found,No
niigata university,Others,Not Found,Not Found,No
nik asa pharmed co,Pharmaceuticals,Not Found,Not Found,No
nilratan sircar medical college and hospital,Others,"$31M, Not Found",https://en.wikipedia.org/wiki/Nil_Ratan_Sircar_Medical_College_and_Hospital,No
nimble science ltd,Biotechnology,Not Found,Not Found,Yes
nims dental college and hospital,Others,Not Found,Not Found,No
nims university,Others,Not Found,Not Found,No
ningbo city medical treatment center lihuili hospital,Others,Not Found,Not Found,No
ningbo dahongying pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
ningbo eye hospital,Others,Not Found,Not Found,Yes
ningbo first hospital,Others,Not Found,Not Found,No
ningbo hospital no 6,Others,Not Found,Not Found,No
ningbo kangning hospital,Others,Not Found,Not Found,No
ningbo krka menovo pharmaceutical co ltd,Pharmaceuticals,"$4.3M, Private Placement",https://www.marketscreener.com/quote/stock/NINGBO-MENOVO-PHARMACEUTI-42613214/news/Ningbo-Krka-Menovo-Pharmaceutical-Co-Ltd-Ningbo-China-announced-that-it-expects-to-receive-fundi-33978195/,Yes
ningbo lihua pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
ningbo lonrain meditech ltd,Others,Not Found,Not Found,No
ningbo menovo pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
ningbo meishu pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
ningbo menovo tiankang pharmaceutical co ltd,Pharmaceuticals,"$4.1M, Not Found",Not Found,Yes
ningbo shengjian bio-pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
ningbo shouzheng medicinal research co ltd,Pharmaceuticals,Not Found,Not Found,No
ningbo university medical school hospital,Others,Not Found,Not Found,No
ningbo wenda pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
ningbo women and children''s hospital,Others,Not Found,Not Found,No
ningbo xijian pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
