company_name,sector,funding,funding_citation,ai_enabled
montefiore medical center,Others,Not Found,Not Found,No
montpellier cancer research institute,Biotechnology,Not Found,Not Found,No
montreal heart institute,Others,Not Found,Not Found,No
monument therapeutics ltd,Pharmaceuticals,"$1.05M, Seed",https://cambridgecognition.com/monument-therapeutics-secures-850k-to-advance-breakthrough-schizophrenia-treatment/,Yes
morex development partners llp,Biotechnology,Not Found,Not Found,No
more foundation,Others,Not Found,Not Found,Yes
morinaga milk industry co ltd,Others,Not Found,Not Found,No
morningside healthcare ltd,Pharmaceuticals,Not Found,Not Found,No
moroccan society of surgery,Others,Not Found,Not Found,Yes
morphic therapeutic inc,Biotechnology,"$647M, Acquired",https://www.businesswire.com/news/home/20250721005094/en/Omega-Funds-Closes-Oversubscribed-647-Million-Fund-VIII-to-Invest-in-Transformative-Life-Science-Companies,No
morristown medical center,Others,Not Found,Not Found,No
mosaic wellness pvt ltd,Others,"$68M, Series B",https://tracxn.com/d/companies/mosaic-wellness/__1X9roTchQpXBJ623DR93VE7PjGLqyMM0h2DpywRN_mI,No
moscow pharmaceutical factory,Pharmaceuticals,Not Found,Not Found,No
moscow pharmaceutical factory (jsc),Pharmaceuticals,Not Found,Not Found,No
moscow research institute of psychiatry,Others,Not Found,Not Found,No
moscow state medical and dental university named after a.i. evdokimov,Others,Not Found,Not Found,No
mossakowski medical research centre polish academy of sciences,Biotechnology,Not Found,Not Found,Yes
mother theresa university hospital center,Others,Not Found,Not Found,No
mothers pharm co ltd,Pharmaceuticals,"$5.3M, Not Found",https://uk.marketscreener.com/quote/stock/DAISHIN-SECURITIES-CO-LTD-6494628/news/Mother-s-Pharmaceutical-Co-Ltd-announced-that-it-expects-to-receive-KRW-7-billion-in-funding-from-45569128/,No
mothers pharmaceutical co ltd,Pharmaceuticals,"$5.3M, Not Found",https://uk.marketscreener.com/quote/stock/DAISHIN-SECURITIES-CO-LTD-6494628/news/Mother-s-Pharmaceutical-Co-Ltd-announced-that-it-expects-to-receive-KRW-7-billion-in-funding-from-45569128/,No
moti lal nehru medical college,Others,Not Found,Not Found,No
motol university hospital,Others,Not Found,Not Found,No
motric bio inc,Biotechnology,Not Found,Not Found,No
mount carmel health system,Others,Not Found,Not Found,No
mount sinai hospital toronto,Others,Not Found,Not Found,No
mount vernon cancer centre,Others,Not Found,Not Found,No
mountain states tumor and medical research institute,Others,Not Found,Not Found,No
mprex healthcare pvt ltd,Biotechnology,Not Found,Not Found,No
mr. madan pratap khunteta homeopathic medical college hospital research centre,Others,Not Found,Not Found,No
mubang (beijing) pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
mudanjiang hengyuan pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
mudanjiang youbo pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
mugla sitki kocman university,Others,Not Found,Not Found,No
muhammad institute of medical and allied sciences multan,Others,Not Found,Not Found,No
muhimbili university of health and allied sciences,Others,Not Found,Not Found,Yes
mukoviszidose institute,Others,"$2.0M, Not Found",https://www.ecfs.eu/mukoviszidose2011,No
multicenter clinical study group of osaka colorectal cancer treatment group,Pharmaceuticals,Not Found,Not Found,No
multidisciplinary association for psychedelic studies,Biotechnology,"$30M, Not Found",https://en.wikipedia.org/wiki/Multidisciplinary_Association_for_Psychedelic_Studies,No
multidisciplinary center for specialized education and research ltd,Others,Not Found,Not Found,Yes
multiple sclerosis center of catalonia,Others,Not Found,Not Found,No
multiple sclerosis center of northeastern ny,Others,Not Found,Not Found,No
multiple sclerosis research australia,Others,Not Found,Not Found,No
multiple sclerosis research australia ltd,Others,Not Found,Not Found,No
mundipharma (china) pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
mundipharma comm va,Pharmaceuticals,Not Found,Not Found,No
mundipharma international ltd,Pharmaceuticals,Not Found,Not Found,No
mundipharma research ltd,Pharmaceuticals,Not Found,Not Found,No
municipal hospital affiliated to medical school of taizhou university,Others,Not Found,Not Found,No
muniyal institute of ayurveda medical sciences,Others,Not Found,Not Found,No
mustafa kemal universitesi,Others,Not Found,Not Found,No
mutah university,Others,Not Found,Not Found,No
muyuan (anhui) pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
my duc hospital,Others,Not Found,Not Found,No
"mymd pharmaceuticals (florida), inc",Pharmaceuticals,Not Found,Not Found,No
mymd pharmaceuticals inc,Pharmaceuticals,Not Found,Not Found,No
mycomedica life sciences pbc,Biotechnology,"$60M, Series A",https://www.crunchbase.com/organization/mycomedica-life-sciences,No
mycovia pharmaceuticals inc,Pharmaceuticals,Not Found,Not Found,No
mydecine innovations group inc,Biotechnology,"$3.8M, Post IPO equity",https://www.linkedin.com/company/mydecine,Yes
myelo therapeutics gmbh,Pharmaceuticals,Not Found,Not Found,No
mylan inc,Pharmaceuticals,"$147M, Settlement",https://en.wikipedia.org/wiki/Mylan,No
mylan laboratories ltd,Pharmaceuticals,Not Found,Not Found,No
mylan pharmaceuticals pvt ltd,Pharmaceuticals,Not Found,Not Found,No
mymensingh medical college,Others,Not Found,Not Found,No
mymensingh medical college hospital,Others,Not Found,Not Found,No
myokardia inc,Biotechnology,"$13.1B, Acquired",https://news.bms.com/news/details/2020/Bristol-Myers-Squibb-to-Acquire-MyoKardia-for-13.1-Billion-in-Cash/default.aspx,No
myongji hospital,Others,Not Found,Not Found,No
myovant sciences gmbh,Biotechnology,"$4.2B, Acquired",https://news.us.sumitomo-pharma.com/2023-03-10-Sumitovant-Biopharma-Completes-Acquisition-of-Myovant-Sciences,No
myovant sciences ltd,Biotechnology,"$200M, Post IPO Debt",https://www.linkedin.com/company/myovant-sciences,Yes
myrtelle inc,Biotechnology,Not Found,Not Found,No
mysore medical college,Others,Not Found,Not Found,No
myung in pharm co ltd,Pharmaceuticals,Not Found,Not Found,No
myungmoon pharm co ltd,Pharmaceuticals,Not Found,Not Found,No
n c medical college and hospital,Others,Not Found,Not Found,No
n.n. alexandrov national cancer center of belarus,Others,Not Found,Not Found,No
nami new hampshire,Others,Not Found,Not Found,No
natco pharma inc.,Pharmaceuticals,Not Found,Not Found,No
nbcd as,Biotechnology,Not Found,Not Found,No
ncc-bio,Biotechnology,Not Found,Not Found,No
neat - european aids treatment network,Others,Not Found,Not Found,No
neat id foundation,Biotechnology,"$100,000, Not Found",https://www.shcs.ch/news/neat-id-foundation-integration-grant-to-dr-gilles-wandeler/,Yes
nema research inc,Pharmaceuticals,Not Found,Not Found,No
neogap therapeutics ab,Biotechnology,"$472.2K, Grant",https://www.crunchbase.com/organization/tcer-ab,Yes
nhmrc clinical trials centre,Others,"$2.76M, Not Found",https://ctc.usyd.edu.au/,No
nhs frimley health foundation trust,Others,"$328M, Not Found",https://en.wikipedia.org/wiki/Frimley_Health_NHS_Foundation_Trust,No
nhs grampian,Others,"$5.9M, Not Found",https://www.bbc.com/news/articles/cjr5ed799n5o,No
nhs highland,Others,Not Found,Not Found,Yes
nhs national services scotland,Others,Not Found,Not Found,No
nhs national waiting times centre board,Others,Not Found,Not Found,No
nhs tayside,Others,Not Found,Not Found,Yes
niaid vaccine and treatment evaluation unit,Biotechnology,Not Found,Not Found,No
nicm health research institute,Others,Not Found,Not Found,No
nihr exeter clinical research facility,Others,"$15M, Not Found",https://www.exeter.ac.uk/research/biomedicalresearchcentre/,No
nihr moorfields biomedical research centre,Others,Not Found,Not Found,Yes
nims hospital,Others,Not Found,Not Found,No
nisco international inc,Others,Not Found,Not Found,No
nimmune biopharma inc,Biotechnology,Not Found,Not Found,Yes
nkd pharm co ltd,Pharmaceuticals,Not Found,Not Found,Yes
nkp salve institute of medical sciences,Others,Not Found,Not Found,No
nl health services,Others,Not Found,Not Found,No
nls pharmaceutics ag,Biotechnology,"$6M, IPO",https://ch.linkedin.com/company/nls-pharmaceutics-ag,No
nmd pharma as,Biotechnology,"$155M, Series A",https://international.au.dk/collaboration/technology-transfer/spin-outs/nmd-pharma,No
novo hospital,Others,Not Found,Not Found,Yes
noxy health products llc,Biotechnology,Not Found,Not Found,Yes
npo epidemiological and clinical research information network,Others,Not Found,Not Found,No
npo mins,Others,Not Found,Not Found,No
nrg oncology,Biotechnology,Not Found,Not Found,No
nri medical college,Others,Not Found,Not Found,No
nsc-therapeutics gmbh,Pharmaceuticals,Not Found,Not Found,No
ntc srl,Pharmaceuticals,Not Found,Not Found,No
ntg nordic transport group as,Others,Not Found,Not Found,No
ntr university of health sciences,Others,Not Found,Not Found,No
ntt east sapporo hospital,Others,Not Found,Not Found,No
nvalt-oncology,Pharmaceuticals,Not Found,Not Found,No
nvn liquidation inc,Not Found,Not Found,Not Found,Unknown
nvp healthcare co ltd,Pharmaceuticals,"$13M, Not Found",https://www.linkedin.com/posts/nvphealthcare_nvp-healthcare-is-honored-to-be-recognized-activity-7355499625488797698-kab8,Yes
nwo domain applied and engineering sciences,Others,"$25.9M, Not Found",https://www.hdmt.technology/2024/02/11/open-technology-programme-nwo/,Yes
nyu langone hospital long island,Others,Not Found,Not Found,No
nyu langone''s laura and isaac perlmutter cancer center,Others,Not Found,Not Found,No
nyu robert i. grossman school of medicine,Others,Not Found,Not Found,No
nabriva therapeutics plc,Biotechnology,Not Found,Not Found,No
nabros pharma pvt ltd,Pharmaceuticals,Not Found,Not Found,No
nacuity pharmaceuticals inc,Biotechnology,Not Found,Not Found,No
nadian bio ltd,Biotechnology,Not Found,Not Found,Yes
naestved hospital,Others,"$7.1M, Not Found",Not Found,Yes
nagano matsushiro general hospital,Others,Not Found,Not Found,No
nagasaki evaluation organization for clinical interventions,Others,Not Found,Not Found,No
nagasaki kidney center,Others,Not Found,Not Found,No
nagasaki rosai hospital,Others,Not Found,Not Found,No
nagasaki university hospital.,Others,Not Found,Not Found,No
nagoya blood and marrow transplantation group,Others,Not Found,Not Found,No
nagoya city university hospital,Others,Not Found,Not Found,No
nagoya heart center,Others,Not Found,Not Found,No
nagoya university ,Others,Not Found,Not Found,Yes
nagoya university graduate school of medicine,Others,Not Found,Not Found,No
nair hospital dental college,Others,Not Found,Not Found,No
najran university,Others,Not Found,Not Found,No
naju national hospital,Others,Not Found,Not Found,No
"nakajima rheumatology, collagen disease and kidney clinic",Others,Not Found,Not Found,No
nakhonpathom hospital,Others,Not Found,Not Found,No
nalagenetics pte ltd,Biotechnology,"$10M, Grant",https://www.crunchbase.com/organization/nalagenetics,No
nalanda medical college & hospital,Others,Not Found,Not Found,No
nalo therapeutics inc,Biotechnology,Not Found,Not Found,Yes
namangan pharm plant ltd,Pharmaceuticals,Not Found,Not Found,No
nambour general hospital,Others,Not Found,Not Found,No
nan hospital,Not Found,Not Found,Not Found,Unknown
nanchang helioeast pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
nanavati max super speciality hospital,Others,Not Found,Not Found,No
nanchang feihong pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
nanchang hongdu hospital of traditional chinese medicine,Others,Not Found,Not Found,No
nanchang hongyi pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
nanchang lijian pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
nanchang people''s hospital,Others,Not Found,Not Found,No
nanchang reproductive hospital,Others,Not Found,Not Found,No
nanchang university,Others,Not Found,Not Found,No
nanchang university ,Others,Not Found,Not Found,No
nanchong central hospital,Others,Not Found,Not Found,No
nanchong psychosomatic hospital,Others,Not Found,Not Found,No
nanfang hospital of southern medical university,Others,Not Found,Not Found,No
nanfang hospital,Others,Not Found,Not Found,No
nang kuang pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
nanhua hospital,Others,Not Found,Not Found,No
nanhua university hospital two,Others,Not Found,Not Found,Yes
nanjing aidecheng ningxin drug research and development co ltd,Pharmaceuticals,Not Found,Not Found,No
nanjing aidekaiteng biopharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
nanjing aimeifei biomedical technology co ltd,Biotechnology,Not Found,Not Found,No
nanjing baixinyu medicine co ltd,Pharmaceuticals,Not Found,Not Found,No
nanjing biomai biotechnology co ltd,Biotechnology,Not Found,Not Found,No
nanjing brian hospital,Others,Not Found,Not Found,No
nanjing cavendish biological engineering technology co ltd,Biotechnology,Not Found,Not Found,No
nanjing children's hospital,Not Found,Not Found,Not Found,Unknown
nanjing cuccess pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
nanjing delova biotech co ltd,Biotechnology,Not Found,Not Found,No
nanjing drum tower hospital,Others,Not Found,Not Found,No
nanjing easeheal pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
Nanjing Edgar Biopharmaceutical Technology Co Ltd,Pharmaceuticals,Not Found,Not Found,No
nanjing f&s pharmatech co ltd,Pharmaceuticals,Not Found,Not Found,Yes
nanjing fangshenghe pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
nanjing fengkaisi drug research and development co ltd,Pharmaceuticals,Not Found,Not Found,No
nanjing first hospital,Others,Not Found,Not Found,No
nanjing gaochun people''s hospital,Others,Not Found,Not Found,Yes
nanjing general hospital of nanjing military region,Others,Not Found,Not Found,Yes
nanjing gulou hospital,Others,Not Found,Not Found,No
nanjing haijing pharmaceutical co ltd,Pharmaceuticals,"$141M, Private Placement",https://news.futunn.com/en/post/62463338/20cm-price-limit-surge-micromed-completes-private-placement-haijing-pharmaceuticals,No
nanjing hailing pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
nanjing haina pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
