company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
equillium inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.e,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,Yes,First-in-class structured-domain peptides that inhibit multiple disease driving cytokines,https://www.equilliumbio.com/home/default.aspx,No,,,Yes,"Our lead product candidate, itolizumab, is a first-in-class monoclonal antibody",https://www.linkedin.com/company/equillium,No,,,No,,,No,,,No,,,No,,,No,,,No,,
pyxis oncology inc,2025-10-13 20:08:07,Yes,micvotabart pelidotin,Not specified,oncology,other,Phase 1,No,,,No,,,No,,,Yes,investigational fully human IgG1 Siglec-15-targeting antibody,https://stockanalysis.com/stocks/pyxs/company/,Yes,antibody-drug conjugates (ADCs),https://www.linkedin.com/company/pyxis-oncology,No,,,No,,,No,,,No,,,No,,,No,,
xilio therapeutics inc,2025-10-06 14:09:32,Yes,Vilastobart; Efarindodekin Alfa; XTX501; PSMA; CLDN18.2; STEAP1,"CTLA-4, Cytotoxic T-Lymphocyte-Associated Protein 4; PD-L1, Programmed Death-Ligand 1; IL-12, Interleukin-12; PD-1, Programmed Cell Death Protein 1; IL-2, Interleukin-2; PSMA, Prostate-Specific Membrane Antigen; CLDN18.2, Claudin 18.2; STEAP1, Six Transmembrane Epithelial Antigen of Prostate 1",oncology,immune checkpoint; cytokine; other,Phase 1,No,,,No,,,Yes,tumor-activated cytokines,https://www.prnewswire.com/news-releases/abbvie-and-xilio-therapeutics-announce-collaboration-and-option-agreement-to-develop-novel-tumor-activated-immunotherapies-302371535.html,Yes,tumor-activated antibodies,https://www.prnewswire.com/news-releases/abbvie-and-xilio-therapeutics-announce-collaboration-and-option-agreement-to-develop-novel-tumor-activated-immunotherapies-302371535.html,No,,,No,,,No,,,No,,,No,,,No,,,Yes,masked T-cell engagers,https://www.prnewswire.com/news-releases/abbvie-and-xilio-therapeutics-announce-collaboration-and-option-agreement-to-develop-novel-tumor-activated-immunotherapies-302371535.html
spur therapeutics ltd,No timestamp found,Yes,SBT101,Not specified,rare diseases,Not specified,Preclinical,No,,,No,,,Yes,"GCase85, a version of the GCase enzyme that was rationally engineered by our scientists for improved stability",https://www.linkedin.com/company/spurtherapeutics,No,,,No,,,No,,,No,,,Yes,AAV gene therapy candidate for Gaucher disease and GBA1 Parkinson's disease,https://www.linkedin.com/company/spurtherapeutics,No,,,No,,,No,,
medalliance llc,2021-04-17 00:00:00,No,SELUTION SLR,Not specified,cardiovascular; peripheral vascular,Not specified,Approved,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
kadmon holdings inc,"Error: Connection failed - HTTPSConnectionPool(host='en.wikipedia.org', port=",Yes,Rezurock; belumosudil,"ROCK2, Rho-associated coiled-coil kinase 2",immunology; fibrotic diseases,kinases,Approved,Yes,"Rezurock™ (belumosudil), an FDA-approved, first-in-class treatment",https://www.sanofi.com/en/media-room/press-releases/2021/2021-09-08-05-00-00-2293017,No,,,No,,,No,,,No,,,Yes,"KD033, an anti-PD-L1/IL-15 fusion protein",https://www.linkedin.com/company/kadmon-corporation-llc,No,,,No,,,No,,,No,,,No,,
spruce biosciences inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.b,No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"tildacerfont, a non-steroidal therapy",https://www.marketbeat.com/instant-alerts/spruce-biosciences-sprb-sell-d-rating-reaffirmed-at-weiss-ratings-2025-10-14/,No,,,Yes,tralesinidase alfa enzyme replacement therapy (TA-ERT),https://www.linkedin.com/company/spruce-biosciences,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
kelonia therapeutics inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.c,Yes,KLN-1010,"BCMA, B-Cell Maturation Antigen",oncology,immune checkpoint,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,in vivo gene delivery technology uses a few potent lentiviral vector-like particles to precisely and efficiently deliver in vivo genetic cargo,https://www.linkedin.com/company/kelonia-therapeutics,No,,,No,,,No,,
forward therapeutics inc,2023-11-08 07:00:00,No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,small molecule biotech focused on creating transformative immunology drugs,https://www.linkedin.com/company/forward-therapeutics,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
guangzhou yinming biomedical technology co ltd,2021-09-09 00:00:00,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
