company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
acer therapeutics inc,2023-07-26 00:00:00,No,ACER-001; emetine hydrochloride; EDSIVO; osanetant,"Disease Name; Disease Name; COL3A1, Type III Collagen; Disease Name",rare diseases; infectious diseases; rare diseases; CNS,Not specified; Not specified; other; Not specified,Phase 3; Not specified; Not specified; Not specified,Yes,"ACER-001 (a taste-masked, immediate-release formulation of sodium phenylbutyrate)",https://www.linkedin.com/company/acer-therapeutics-inc,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
hutchison healthcare limited,"Error: Connection failed - HTTPSConnectionPool(host='www.investegate.co.uk', ",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
shanghai hansoh biomedical co ltd,"Error: Connection failed - HTTPSConnectionPool(host='en.wikipedia.org', port=",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
jiangsu haosen pharmaceutical co ltd,"Error: Connection failed - HTTPSConnectionPool(host='en.wikipedia.org', port=",No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"manufacture, sales and pharmaceutical investment of drugs",https://www.linkedin.com/company/jiangsu-hansoh-pharmaceutical-co-ltd-/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
task foundation npc,No timestamp found,Yes,Telacebec;bEto-TB,Tuberculosis,infectious diseases,other,Not specified,Yes,"Telacebec, a Potent Agent in the Fight against Tuberculosis",https://taskclinical.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,TASK and Parexel join forces to accelerate global vaccine research,https://taskclinical.com/,No,,,Yes,TASK Leads International Collaboration in Groundbreaking Phages4TB Project Working Towards Phage Therapy for Tuberculosis,https://taskclinical.com/
vector vitale inc,"Error: Connection failed - HTTPSConnectionPool(host='tracxn.com', port=443): ",No,Jakafi; Niktimvo; ruxolitinib XR; axatilimab; INCB057643; INCA033989; INCA035784; INCB160058; Monjuvi; Zynyz; Pemazyre; Iclusig; Opzelura; povorcitinib; zilurgisertib; Olumiant; Tabrecta,"JAK1/JAK2, Janus Kinase 1/2; CSF-1R, Colony Stimulating Factor 1 Receptor; BET, Bromodomain and Extra-Terminal motif; mutCALR, Mutant Calreticulin; mutCALR×CD3, Mutant Calreticulin × Cluster of Differentiation 3; JAK2 V617F, Janus Kinase 2 V617F mutation; CD19, Cluster of Differentiation 19; PD-1, Programmed Death-1; FGFR1/2/3, Fibroblast Growth Factor Receptor 1/2/3; BCR-ABL, Breakpoint Cluster Region-Abelson; ALK2, Activin Receptor-Like Kinase 2; KRAS G12D, Kirsten Rat Sarcoma Viral Oncogene Homolog G12D mutation; DGKα/ζ, Diacylglycerol Kinase Alpha/Zeta",oncology; hematology; dermatology; inflammation and autoimmunity; rare diseases,kinases; enzyme; immune checkpoint; other,Approved; Marketed; Phase 1; Phase 2; Phase 3,No,,,Yes,polypeptides,https://www.linkedin.com/company/vector-vitale,Yes,proteins,https://www.linkedin.com/company/vector-vitale,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
organon & co,2025-10-14 19:55:54,No,VTAMA,Disease Name,dermatology,Not specified,Marketed,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
ptc therapeutics inc,2025-10-01 16:31:00,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
chemo/liconsa,Error: Connection failed - HTTPSConnectionPool(host='www.chemopharmaceuticals,No,Tivozanib; Umbralisib; Tepotinib; Lisocabtagene maraleucel; Sotorasib; Mobocertinib; Pacritinib; Ublituximab; Magrolimab; Zanubrutinib; Tislelizumab; Sonrotoclax; Tarlatamab; Zanidatamab,"MET, MET exon 14 skipping alterations; KRAS, KRAS G12C mutation; EGFR, EGFR exon 20 insertion mutation; CD20, Cluster of Differentiation 20; PD-1, Programmed Death-1; DLL3, Delta-like protein 3; HER2, Human Epidermal Growth Factor Receptor 2",oncology; hematologic malignancies; lung cancers; gastrointestinal cancers; immunology & inflammation,kinases; immune checkpoint; enzyme; other,Approved; Phase 1; Phase 2; Phase 3,Yes,"dabigatran etexilate, methylphenidate hydrochloride, pirfenidone, rivaroxaban",https://www.medicines.org.uk/emc/company/4220,No,,,Yes,testosterone undecanoate,https://www.medicines.org.uk/emc/company/4220,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
hyloris pharmaceuticals sa,2025-09-25 06:10:59,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
