company_name,sector,funding,funding_citation,ai_enabled
mount sinai hospital,Others,Not Found,Not Found,Yes
nrx pharmaceuticals inc,Biotechnology,"$8.8M, Post IPO equity",https://www.linkedin.com/company/nrx-pharma,No
naka kinen clinic,Others,Not Found,Not Found,No
nanexa ab,Pharmaceuticals,Not Found,Not Found,No
nanjing hang seng pharmaceutical co ltd,Pharmaceuticals,"$105M, Acquired",https://thebambooworks.com/brief-baiyunshan-invests-105-million-for-11-of-nanjing-pharma/,No
nanjing university,Others,Not Found,Not Found,No
nanning city second people''s hospital,Others,Not Found,Not Found,No
nano intelligent biomedical engineering corp,Biotechnology,"$435M, Not Found",https://www.bioworld.com/keywords/60541-nano-intelligent-biomedical-engineering-corp,No
nanopharma development,Pharmaceuticals,Not Found,Not Found,No
nara medical university,Others,Not Found,Not Found,No
natco pharma ltd,Pharmaceuticals,Not Found,Not Found,No
national centre for nuclear research radioisotope centre polatom,Pharmaceuticals,"$3.63M, Not Found",https://www.polatom.pl/our-projects/in-progress/secure/,No
national cerebral and cardiovascular center,Others,Not Found,Not Found,Yes
national clinical research center for cardiovascular diseases,Others,Not Found,Not Found,Yes
national hospital organization higashi-ohmi general medical center,Others,Not Found,Not Found,No
national institute of neurosciences and hospital,Others,Not Found,Not Found,No
national medical research center of radiology,Others,Not Found,Not Found,No
national neuroscience institute,Others,Not Found,Not Found,No
national and kapodistrian university of athens,Others,Not Found,Not Found,No
navigen inc,Pharmaceuticals,"$40M, Series A",https://www.linkedin.com/company/navigen-inc.,Yes
nemours children''s clinic,Others,Not Found,Not Found,Yes
nemours children's clinic,Others,Not Found,Not Found,No
neomatrix therapeutics inc,Biotechnology,Not Found,Not Found,Yes
nervgen pharma corp,Biotechnology,Not Found,Not Found,No
neuraly inc,Pharmaceuticals,"$36M, Series A",https://www.linkedin.com/company/neuraly-inc,No
neuren pharmaceuticals ltd,Biotechnology,Not Found,Not Found,No
neurobo pharmaceuticals inc,Biotechnology,"$70M, Not Found",https://www.prnewswire.com/news-releases/neurobo-pharmaceuticals-announces-strategic-realignment-ahead-of-important-clinical-milestones-with-name-change-to-metavia---reflecting-the-companys-focus-on-cardiometabolic-diseases-302308180.html,No
neuroscientific biopharmaceuticals ltd,Biotechnology,Not Found,Not Found,No
neurodegenerative disease research inc,Biotechnology,"$12.5M, Not Found",https://www.feinberg.northwestern.edu/giving/stories/_stories/2021/ndr-als-gift.html,No
new york state psychiatric institute,Others,Not Found,Not Found,No
newcastle university,Others,Not Found,Not Found,No
nexthera co ltd,Biotechnology,Not Found,Not Found,No
niedlfree technologies pvt ltd,Biotechnology,Not Found,Not Found,No
nihon university itabashi hospital,Others,Not Found,Not Found,No
ningbo compaq medical technology co ltd,Others,Not Found,Not Found,No
nono inc,Biotechnology,Not Found,Not Found,No
nordic bioscience as,Biotechnology,"$100M, Private Equity",https://www.linkedin.com/company/nordicbioscience/,No
north khorasan university of medical sciences,Others,Not Found,Not Found,No
north zealand hospital,Others,Not Found,Not Found,No
northern health,Others,Not Found,Not Found,No
northwest women and children''s hospital,Others,Not Found,Not Found,Yes
norwegian school of sport sciences,Others,Not Found,Not Found,No
nova hospital,Others,Not Found,Not Found,No
novacell technology inc,Biotechnology,Not Found,Not Found,No
novotech australia pty ltd,Biotechnology,Not Found,Not Found,No
nutrinia ltd (inactive),Biotechnology,"$30M, Series D",https://www.finsmes.com/2016/08/nutrinia-closes-30m-series-d-financing.html,No
okyo pharma ltd,Biotechnology,"$1.9M, Grant",https://www.cnn.com/markets/stocks/OKYO,No
onl therapeutics inc,Biotechnology,"$65M, Series D",https://onltherapeutics.com/2024/09/13/onl-therapeutics-closes-65-million-in-oversubscribed-series-d-financing/,No
opko biologics ltd,Biotechnology,Not Found,Not Found,No
oasis fertility,Others,Not Found,Not Found,No
oasis pharmaceuticals llc,Pharmaceuticals,Not Found,Not Found,Yes
ocelot bio inc,Biotechnology,"$3M, Debt Financing",https://www.linkedin.com/company/ocelot-bio,No
op-t-mune inc,Biotechnology,"$4.45M, Not Found",https://www.sbir.gov/portfolio/405651,Yes
ora inc,Pharmaceuticals,Not Found,Not Found,Yes
organon & co,Pharmaceuticals,"$1.0B, Post IPO Debt",https://www.linkedin.com/company/organon,No
orthotrophix inc,Biotechnology,Not Found,Not Found,No
oxeia biopharmaceuticals inc,Biotechnology,Not Found,Not Found,No
pla hospital 304,Others,Not Found,Not Found,Yes
pla northern theater command general hospital,Others,Not Found,Not Found,No
pmd device solutions ab,Biotechnology,"$11M, Acquired",https://www.irishexaminer.com/business/companies/arid-41545816.html,No
point biopharma global inc,Biotechnology,"$125M, Post IPO equity",https://www.linkedin.com/company/point-biopharma,No
pvs memorial hospital (p) ltd,Others,Not Found,Not Found,No
palatin technologies inc,Biotechnology,"$1.1M, IPO",https://www.prnewswire.com/news-releases/palatin-technologies-announces-closing-of-reduced-public-offering-302450802.html,No
pandit deen dayal upadhyay medical college,Others,Not Found,Not Found,No
pars behrouzan jam co,Pharmaceuticals,Not Found,Not Found,No
peg-bio biopharma co ltd,Biotechnology,Not Found,Not Found,No
pegbio co ltd,Biotechnology,Not Found,Not Found,Yes
pelican inc,Others,Not Found,Not Found,No
pentixapharm gmbh,Biotechnology,"$16.5M, Series A",https://www.crunchbase.com/organization/pentixapharm,No
pentixapharm holding ag,Biotechnology,"$19.89M, IPO",https://www.deutsche-boerse-cash-market.com/dbcm-en/instruments-statistics/statistics/primary-market-statistics/Pentixapharm-Holding-AG-4120852,No
peptek,Pharmaceuticals,Not Found,Not Found,No
peptilogics inc,Biotechnology,"$5.5M, Series A",https://www.amrindustryalliance.org/case-study/an-innovative-peptide-based-platform-to-develop-a-new-class-of-potent-antibiotics/,Yes
"peptimmune, inc. (inactive)",Biotechnology,Not Found,Not Found,No
peptomyc sl,Biotechnology,"$4.3M, Not Found",https://vhio.net/2023/12/20/the-spin-off-peptomyc-and-vhio-awarded-e4-million-from-the-spanish-ministry-of-science-and-innovation-to-advance-the-clinical-development-of-the-first-myc-oncogene-inhibitor/,No
