company_name,sector,funding,funding_citation,ai_enabled
fondazione italiana sindromi mielodisplastiche onlus,Not Found,Not Found,Not Found,Unknown
fondazione mario negri sud,Pharmaceuticals,Not Found,Not Found,No
fondazione poliambulanza istituto ospedaliero,Others,Not Found,Not Found,No
fondazione radioterapia oncologica,Not Found,Not Found,Not Found,Unknown
fondazione sisa,Pharmaceuticals,Not Found,Not Found,No
fondazione toscana gabriele monasterio,Others,Not Found,Not Found,Yes
food and health bureau,Others,Not Found,Not Found,No
forsight vision5 inc,Biotechnology,"$11.8M, Debt Financing",https://www.linkedin.com/company/forsight-vision5,No
fore biotherapeutics inc,Biotechnology,"$38M, Series D",https://www.businesswire.com/news/home/20250522968382/en/FORE-Biotherapeutics-Raises-%2438-Million-in-Series-D-2-Financing-for-the-Continued-Advancement-of-Plixorafenib,No
forest hills partners hong kong ltd,Biotechnology,Not Found,Not Found,Yes
formerly pharmaceutical profiles ltd,Pharmaceuticals,"$25M, Acquired",https://www.nottingham.ac.uk/news/pressreleases/2013/september/spin-out-company-molecular-profiles-purchased-by-us-based-columbia-laboratories-.aspx,No
formosa pharmaceuticals inc,Biotechnology,"$21.2M, Series C",https://is.linkedin.com/company/formosa-pharmaceuticals,No
fortis escorts hospital,Others,Not Found,Not Found,No
fortis hospital mohali,Others,Not Found,Not Found,No
fortrea holdings inc,Pharmaceuticals,Not Found,Not Found,Yes
fortvita biologics (usa) inc,Biotechnology,Not Found,Not Found,Yes
forward pharma as,Biotechnology,"$1.25B, Acquired",https://www.annualreports.com/Company/forward-pharma-as,No
forward therapeutics inc,Biotechnology,"$50M, Series A",https://www.prnewswire.com/news-releases/forward-therapeutics-announces-50-million-series-a-financing-to-advance-next-generation-small-molecule-immune-therapies-301980905.html,No
foshan chancheng central hospital co ltd,Others,Not Found,Not Found,Yes
foshan chiral pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
foshan gaoming district people''s hospital,Others,Not Found,Not Found,No
foshan hospital of traditional chinese medicine,Others,Not Found,Not Found,No
foshan kaichuan pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
foshan maternal and child health hospital,Others,Not Found,Not Found,No
foshan sanshui district people''s hospital,Others,Not Found,Not Found,No
foshan second people''s hospital,Others,Not Found,Not Found,Yes
foshan women and children hospital,Others,Not Found,Not Found,Yes
fosun hongchuang (suzhou) pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,Yes
foundation against aids,Error,Error,Error,Error
foundation cardio infantil,Others,Not Found,Not Found,No
foundation cardiovascular institute hospital,Others,Not Found,Not Found,No
foundation sandro pitigliani,Others,"$1M, Not Found",Not Found,Yes
foundation santa lucia,Others,Not Found,Not Found,No
foundation university islamabad,Others,Not Found,Not Found,No
foundation for a smoke-free world,Others,"$122.5M, Not Found",https://www.tobaccotactics.org/article/fsfw/,No
foundation for aids research,Others,"$900M, Not Found",Not Found,No
foundation for advancing veteran''s health research,Others,Not Found,Not Found,No
foundation for biomedical research at la paz university hospital,Biotechnology,Not Found,Not Found,No
foundation for health research and training in the region of murcia,Biotechnology,Not Found,Not Found,No
foundation for liver research,Others,"$3.33M, Not Found",https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/4049676,No
foundation for orthopedic research and education,Others,Not Found,Not Found,No
foundation for research hospital la fe,Biotechnology,"$13M, Not Found",https://innovation-radar.ec.europa.eu/innovator/995991539,Yes
foundation for research hospital maggiore,Others,Not Found,Not Found,No
foundation for research and biomedical innovation of the infanta leonor university hospital,Biotechnology,"$11.9M, Not Found",https://beamerproject.eu/b-compass-pilot-site/foundation-for-biomedical-research-and-innovation-in-primary-care-of-madrid/,No
foundation for the promotion of health and biomedical research of valencia,Biotechnology,Not Found,Not Found,Yes
foundation for the reception and accommodation of elderly people,Others,Not Found,Not Found,No
foundation of biomedical research of university hospital of asturias,Biotechnology,"$8.6M, Not Found",https://www.ersnet.org/respire/fundacion-para-la-investigacion-e-innovacion-biosanitaria-en-el-principado-de-asturias-finba/,No
foundation of biomedical research of university hospital of puerta de hierro,Biotechnology,Not Found,Not Found,No
fourrts (india) laboratories pvt ltd,Pharmaceuticals,Not Found,Not Found,No
fourth hospital of hebei medical university,Others,Not Found,Not Found,No
fourth medical center of pla general hospital,Others,Not Found,Not Found,No
fourth military medical university,Others,Not Found,Not Found,No
fourth military medical university hospital 1,Others,Not Found,Not Found,Yes
fourth people''s hospital affiliated to tongji university,Others,Not Found,Not Found,No
fourth people''s hospital of ordos city,Others,Not Found,Not Found,No
fourth affiliated hospital of harbin medical university,Others,Not Found,Not Found,No
francis i. proctor foundation,Others,Not Found,Not Found,No
franciscus gasthuis & vlietland,Others,Not Found,Not Found,No
franciscus gasthuis &,Others,"$80M, Not Found",https://www.eib.org/en/press/all/2023-373-franciscus-begint-duurzame-nieuwbouw-met-europese-financiering,No
frankston hospital,Others,Not Found,Not Found,No
frantz medical group,Biotechnology,Not Found,Not Found,No
frantz viral therapeutics llc,Biotechnology,Not Found,Not Found,No
fraser health,Others,Not Found,Not Found,No
fraunhofer institute for toxicology and experimental medicine,Biotechnology,Not Found,Not Found,Yes
fraunhofer institute of toxicology and experimental medicine,Biotechnology,Not Found,Not Found,Yes
fred hutchinson cancer research center,Biotechnology,"$314M, Not Found",https://en.wikipedia.org/wiki/Fred_Hutchinson_Cancer_Center,No
frederick memorial hospital,Others,Not Found,Not Found,No
frederiksberg hospital,Others,Not Found,Not Found,Yes
free university of brussels,Others,Not Found,Not Found,No
freeman health system,Others,Not Found,Not Found,No
freeman hospital,Others,Not Found,Not Found,No
french cardiology society,Others,Not Found,Not Found,No
french national agency for research on aids and viral hepatitis,Others,"$51M, Not Found",https://www.glopid-r.org/members/institut-national-de-la-sante-et-de-la-recherche-medicale-inserm/,No
french national institute of health and medical research,Biotechnology,Not Found,Not Found,Yes
french society of cystic fibrosis,Others,Not Found,Not Found,No
frequency therapeutics inc,Biotechnology,Not Found,Not Found,No
fresenius kabi ab,Pharmaceuticals,Not Found,Not Found,No
fresenius kabi ag,Pharmaceuticals,Not Found,Not Found,No
fresenius se &,Pharmaceuticals,"$400M, Not Found",https://www.fresenius.com/,Yes
fribourgeois hospital,Others,Not Found,Not Found,No
friends research institute inc,Others,Not Found,Not Found,No
frimline pvt ltd,Pharmaceuticals,Not Found,Not Found,Yes
friuli centrale university health authority,Others,Not Found,Not Found,No
front pharmaceutical plc,Pharmaceuticals,Not Found,Not Found,Yes
frontage (shanghai) co ltd,Pharmaceuticals,"$22M, IPO",https://www.cbinsights.com/company/frontage-laboratories,No
frontage laboratories inc,Pharmaceuticals,Not Found,Not Found,No
frontida biopharmaceuticals technology co ltd,Pharmaceuticals,Not Found,Not Found,No
"frontier medical and dental college, abbotabad",Others,Not Found,Not Found,No
frontier medicines corp,Biotechnology,"$20M, Series C",https://www.crunchbase.com/organization/frontier-medicines,Yes
frontier science foundation-hellas,Pharmaceuticals,Not Found,Not Found,No
fu jen catholic university hospital,Others,Not Found,Not Found,No
fuan pharmaceutical (group) co ltd,Pharmaceuticals,Not Found,Not Found,No
"fuan pharmaceutical (group) qingyutang pharmaceutical co., ltd",Pharmaceuticals,Not Found,Not Found,No
fuan pharmaceutical group ningbo team pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fuan pharmaceutical group ningbo tianheng pharmaceutical co ltd,Pharmaceuticals,"$570M, Acquired",https://www.marketscreener.com/quote/stock/FUAN-PHARMACEUTICAL-GROUP-11367190/news/Fuan-Pharmaceutical-Co-Ltd-agreed-to-acquire-Ningbo-Tianheng-Pharmaceutical-Co-Ltd-from-Wang-T-38560864/,No
fuan pharmaceutical group ningbo tianheng pharmaceutical company limited,Pharmaceuticals,"$570M, Acquired",https://www.marketscreener.com/quote/stock/FUAN-PHARMACEUTICAL-GROUP-11367190/news/Fuan-Pharmaceutical-Co-Ltd-agreed-to-acquire-Ningbo-Tianheng-Pharmaceutical-Co-Ltd-from-Wang-T-38560864/,No
fuan pharmaceutical group yantai zhichu pharmaceutical co ltd,Pharmaceuticals,"$1.5B, Acquired",https://www.marketscreener.com/quote/stock/FUAN-PHARMACEUTICAL-GROUP-11367190/news/Fuan-Pharmaceutical-Co-Ltd-agreed-to-acquire-Yantai-Justaware-Pharmaceutical-Co-Ltd-from-Shand-38144891/,No
fudan university school of public health,Others,Not Found,Not Found,No
fudan university shanghai cancer center,Others,Not Found,Not Found,No
fujian academy of traditional chinese medicine,Others,Not Found,Not Found,No
fujian akeylink biotechnology co ltd,Biotechnology,Not Found,Not Found,Yes
fujian baonuo pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian boro pharmaceutical r&d co ltd,Pharmaceuticals,Not Found,Not Found,Yes
fujian children''s hospital,Others,Not Found,Not Found,No
fujian cosunter pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian dapu biopharmaceutical co ltd,Biotechnology,Not Found,Not Found,No
fujian dongrui pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian dongrui pharmaceutical co ltd (inactive),Pharmaceuticals,Not Found,Not Found,No
fujian fukang pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian gutian pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian haiwang fuyao pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian haixi new pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
fujian huitian bio-pharma co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian jushen pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian maternity and child health hospital,Others,Not Found,Not Found,No
fujian medical university,Others,Not Found,Not Found,No
fujian mindong lijiexun pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian pacific pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
fujian pinteng pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
fujian provincial maternity and children''s hospital,Others,Not Found,Not Found,No
fujian provincial people''s hospital,Others,Not Found,Not Found,No
fujian rongheng pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
fujian university of tcm hospital 2,Others,Not Found,Not Found,No
fujian university of traditional chinese medicine hospital 3,Others,Not Found,Not Found,No
fujita health university,Others,Not Found,Not Found,Yes
fukang (shanghai) health technology co ltd,Biotechnology,Not Found,Not Found,Yes
fukuang general hospital of liaoning health industry group,Others,Not Found,Not Found,No
fukuda surgical hospital,Others,Not Found,Not Found,No
fukui cardiovascular center,Others,Not Found,Not Found,No
fulcrum therapeutics inc,Biotechnology,"$125M, Post IPO equity",https://www.linkedin.com/company/fulcrum-therapeutics,No
