company_name,funding_citations
equillium inc,https://www.equilliumbio.com/investors/press-releases/news-details/2025/Equillium-Announces-Up-to-50-Million-Financing-to-Advance-EQ504-a-Novel-Aryl-Hydrocarbon-Receptor-Modulator-into-the-Clinic/default.aspx
pyxis oncology inc,https://www.linkedin.com/company/pyxis-oncology
xilio therapeutics inc,https://www.linkedin.com/company/xilio-tx
spur therapeutics ltd,https://www.synconaltd.com/news-insights/news/spur-therapeutics-formerly-freeline-announces-new-name-and-brand/
medalliance llc,https://www.linkedin.com/company/medalliance-swiss-medical-technology
kadmon holdings inc,https://en.wikipedia.org/wiki/Kadmon_Corporation
spruce biosciences inc,https://www.businesswire.com/news/home/20251008435141/en/Spruce-Biosciences-Announces-%2450.0-Million-Private-Placement-Financing
kelonia therapeutics inc,https://www.crunchbase.com/organization/kelonia-therapeutics
forward therapeutics inc,https://www.prnewswire.com/news-releases/forward-therapeutics-announces-50-million-series-a-financing-to-advance-next-generation-small-molecule-immune-therapies-301980905.html
guangzhou yinming biomedical technology co ltd,https://bouncewatch.com/explore/startup/-2311
858 therapeutics inc,https://www.businesswire.com/news/home/20240926331123/en/858-Therapeutics-Announces-%2450-Million-Series-B-Financing
ashvattha therapeutics llc,https://www.linkedin.com/company/ashvattha-therapeutics-inc
lykos therapeutics,https://www.linkedin.com/company/lykos-therapeutics
rycarma therapeutics inc,https://endpts.com/exclusive-forbion-backed-cardio-biotech-rebrands-to-rycarma-with-phase-2-plans
beijing kanova biopharmaceutical co ltd,http://en.kanovabiopharma.com/
suzhou xinkanghe biomedical technology co ltd,http://en.kanovabiopharma.com/
ausper biopharma co ltd,https://www.prnewswire.com/news-releases/ausperbio-raises-50-million-in-series-b-to-advance-functional-cure-for-chronic-hepatitis-b-302467345.html
neonc technologies inc,https://finance.yahoo.com/news/neonc-technologies-quazar-investment-set-130000126.html
suzhou medilink therapeutics ltd,https://www.prnewswire.com/news-releases/medilink-therapeutics-announces-worldwide-collaboration-and-license-agreement-with-roche-to-develop-next-generation-antibody-drug-conjugate-in-oncology-302024162.html
bioaegis therapeutics inc,https://www.bioaegistherapeutics.com/
