company_name,sector,funding,funding_citation,ai_enabled
wuhan xirui pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,Yes
wuhan yiboyuan pharmaceutical technology co ltd,Pharmaceuticals,Not Found,Not Found,No
wuhan yinuo pharmaceutical co ltd,Pharmaceuticals,"$5.93M, Seed",https://tracxn.com/d/companies/yinuo-pharmaceutical/__t5sTGHvVlmrZlsi6dYzMf86eK8ME_Yt1NK21LDmaggo,No
wuhu city fourth people''s hospital,Others,Not Found,Not Found,No
wuhu daorun pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
wuhu people''s hospital 5,Error,Error,Error,Error
wuhu yangyan pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
wuqing pepole''s hospital,Others,Not Found,Not Found,No
wushan county hospital of traditional chinese medicine,Others,Not Found,Not Found,No
wuxi children''s hospital,Others,Not Found,Not Found,No
wuxi fortune pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
wuxi hospital,Others,Not Found,Not Found,No
wuxi huishan district people''s hospital,Healthcare,Not Found,Not Found,No
wuxi jesse pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
wuxi jiyushanhe pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
wuxi kaifu pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,No
wuxi lingfang biomedical technology co ltd,Biotechnology,Not Found,Not Found,Yes
wuxi mental health center,Others,Not Found,Not Found,No
wuxi norroy bioscience co ltd,Biotechnology,Not Found,Not Found,Yes
wuxi shuangliang biotechnology co ltd,Biotechnology,Not Found,Not Found,Not Found
wuxi taxus pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
wuxi traditional chinese medicine hospital,Others,Not Found,Not Found,No
wuzhou gongren hospital,Others,Not Found,Not Found,No
wyse eyecare,Others,Not Found,Not Found,No
xrad therapeutics inc,Biotechnology,Not Found,Not Found,No
xtl biopharmaceuticals ltd,Biotechnology,Not Found,Not Found,No
xwpharma ltd,Biotechnology,"$17M, Series B",https://www.xwpharma.com/,No
xcovery holding co llc,Biotechnology,"$20M, Private Equity",https://www.crunchbase.com/organization/xcovery,No
xcovery holdings inc,Pharmaceuticals,"$20M, Private Equity",https://www.linkedin.com/company/xcovery,No
xeikon guangdong pharmaceutical factory co ltd,Pharmaceuticals,Not Found,Not Found,No
xellia pharmaceuticals aps,Pharmaceuticals,Not Found,Not Found,No
